"site","sakai:joinable"
"testsite113","yes"
"testsite114","yes"
"testsite115","yes"
"testsite116","yes"
"testsite117","yes"
"testsite118","yes"
"testsite119","yes"
"testsite120","yes"
"testsite121","yes"
"testsite122","yes"
"testsite123","yes"
"testsite124","yes"
"testsite125","yes"
"testsite126","yes"
"testsite127","yes"
"testsite128","yes"
"testsite129","yes"
"testsite130","yes"
"testsite131","yes"
"testsite132","yes"
"testsite133","yes"
"testsite134","yes"
"testsite135","yes"
"testsite136","yes"
"testsite137","yes"
"testsite138","yes"
"testsite139","yes"
"testsite140","yes"
"testsite141","yes"
"testsite142","yes"
"testsite143","yes"
"testsite144","yes"
"testsite145","yes"
"testsite146","yes"
"testsite147","yes"
"testsite148","yes"
"testsite149","yes"
"testsite150","yes"
"testsite151","yes"
"testsite152","yes"
"testsite153","yes"
"testsite154","yes"
"testsite155","yes"
"testsite156","yes"
"testsite157","yes"
"testsite158","yes"
"testsite159","yes"
"testsite160","yes"
"testsite161","yes"
"testsite162","yes"
"testsite163","yes"
"testsite164","yes"
"testsite165","yes"
"testsite166","yes"
"testsite167","yes"
"testsite168","yes"
"testsite169","yes"
"testsite170","yes"
"testsite171","yes"
"testsite172","yes"
"testsite173","yes"
"testsite174","yes"
"testsite175","yes"
"testsite176","yes"
"testsite177","yes"
"testsite178","yes"
"testsite179","yes"
"testsite180","yes"
"testsite181","yes"
"testsite182","yes"
"testsite183","yes"
"testsite184","yes"
"testsite185","yes"
"testsite186","yes"
"testsite187","yes"
"testsite188","yes"
"testsite189","yes"
"testsite190","yes"
"testsite191","yes"
"testsite192","yes"
"testsite193","yes"
"testsite194","yes"
"testsite195","yes"
"testsite196","yes"
"testsite197","yes"
"testsite198","yes"
"testsite199","yes"
"testsite200","yes"
"testsite201","yes"
"testsite202","yes"
"testsite203","yes"
"testsite204","yes"
"testsite205","yes"
"testsite206","yes"
"testsite207","yes"
"testsite208","yes"
"testsite209","yes"
"testsite210","yes"
"testsite211","yes"
"testsite212","yes"
"testsite213","yes"
"testsite214","yes"
"testsite215","yes"
"testsite216","yes"
"testsite217","yes"
"testsite218","yes"
"testsite219","yes"
"testsite220","yes"
"testsite221","yes"
"testsite222","yes"
"testsite223","yes"
"testsite224","yes"
"testsite225","yes"
"testsite226","yes"
"testsite227","yes"
"testsite228","yes"
"testsite229","yes"
"testsite230","yes"
"testsite231","yes"
"testsite232","yes"
"testsite233","yes"
"testsite234","yes"
"testsite235","yes"
"testsite236","yes"
"testsite237","yes"
"testsite238","yes"
"testsite239","yes"
"testsite240","yes"
"testsite241","yes"
"testsite242","yes"
"testsite243","yes"
"testsite244","yes"
"testsite245","yes"
"testsite246","yes"
"testsite247","yes"
"testsite248","yes"
"testsite249","yes"
"testsite250","yes"
"testsite251","yes"
"testsite252","yes"
"testsite253","yes"
"testsite254","yes"
"testsite255","yes"
"testsite256","yes"
"testsite257","yes"
"testsite258","yes"
"testsite259","yes"
"testsite260","yes"
"testsite261","yes"
"testsite262","yes"
"testsite263","yes"
"testsite264","yes"
"testsite265","yes"
"testsite266","yes"
"testsite267","yes"
"testsite268","yes"
"testsite269","yes"
"testsite270","yes"
"testsite271","yes"
"testsite272","yes"
"testsite273","yes"
"testsite274","yes"
"testsite275","yes"
"testsite276","yes"
"testsite277","yes"
"testsite278","yes"
"testsite279","yes"
"testsite280","yes"
"testsite281","yes"
"testsite282","yes"
"testsite283","yes"
"testsite284","yes"
"testsite285","yes"
"testsite286","yes"
"testsite287","yes"
"testsite288","yes"
"testsite289","yes"
"testsite290","yes"
"testsite291","yes"
"testsite292","yes"
"testsite293","yes"
"testsite294","yes"
"testsite295","yes"
"testsite296","yes"
"testsite297","yes"
"testsite298","yes"
"testsite299","yes"
"testsite300","yes"
"testsite301","yes"
"testsite302","yes"
"testsite303","yes"
"testsite304","yes"
"testsite305","yes"
"testsite306","yes"
"testsite307","yes"
"testsite308","yes"
"testsite309","yes"
"testsite310","yes"
"testsite311","yes"
"testsite312","yes"
"testsite313","yes"
"testsite314","yes"
"testsite315","yes"
"testsite316","yes"
"testsite317","yes"
"testsite318","yes"
"testsite319","yes"
"testsite320","yes"
"testsite321","yes"
"testsite322","yes"
"testsite323","yes"
"testsite324","yes"
"testsite325","yes"
"testsite326","yes"
"testsite327","yes"
"testsite328","yes"
"testsite329","yes"
"testsite330","yes"
"testsite331","yes"
"testsite332","yes"
"testsite333","yes"
"testsite334","yes"
"testsite335","yes"
"testsite336","yes"
"testsite337","yes"
"testsite338","yes"
"testsite339","yes"
"testsite340","yes"
"testsite341","yes"
"testsite342","yes"
"testsite343","yes"
"testsite344","yes"
"testsite345","yes"
"testsite346","yes"
"testsite347","yes"
"testsite348","yes"
"testsite349","yes"
"testsite350","yes"
"testsite351","yes"
"testsite352","yes"
"testsite353","yes"
"testsite354","yes"
"testsite355","yes"
"testsite356","yes"
"testsite357","yes"
"testsite358","yes"
"testsite359","yes"
"testsite360","yes"
"testsite361","yes"
"testsite362","yes"
"testsite363","yes"
"testsite364","yes"
"testsite365","yes"
"testsite366","yes"
"testsite367","yes"
"testsite368","yes"
"testsite369","yes"
"testsite370","yes"
"testsite371","yes"
"testsite372","yes"
"testsite373","yes"
"testsite374","yes"
"testsite375","yes"
"testsite376","yes"
"testsite377","yes"
"testsite378","yes"
"testsite379","yes"
"testsite380","yes"
"testsite381","yes"
"testsite382","yes"
"testsite383","yes"
"testsite384","yes"
"testsite385","yes"
"testsite386","yes"
"testsite387","yes"
"testsite388","yes"
"testsite389","yes"
"testsite390","yes"
"testsite391","yes"
"testsite392","yes"
"testsite393","yes"
"testsite394","yes"
"testsite395","yes"
"testsite396","yes"
"testsite397","yes"
"testsite398","yes"
"testsite399","yes"
"testsite400","yes"
"testsite401","yes"
"testsite402","yes"
"testsite403","yes"
"testsite404","yes"
"testsite405","yes"
"testsite406","yes"
"testsite407","yes"
"testsite408","yes"
"testsite409","yes"
"testsite410","yes"
"testsite411","yes"
"testsite412","yes"
"testsite413","yes"
"testsite414","yes"
"testsite415","yes"
"testsite416","yes"
"testsite417","yes"
"testsite418","yes"
"testsite419","yes"
"testsite420","yes"
"testsite421","yes"
"testsite422","yes"
"testsite423","yes"
"testsite424","yes"
"testsite425","yes"
"testsite426","yes"
"testsite427","yes"
"testsite428","yes"
"testsite429","yes"
"testsite430","yes"
"testsite431","yes"
"testsite432","yes"
"testsite433","yes"
"testsite434","yes"
"testsite435","yes"
"testsite436","yes"
"testsite437","yes"
"testsite438","yes"
"testsite439","yes"
"testsite440","yes"
"testsite441","yes"
"testsite442","yes"
"testsite443","yes"
"testsite444","yes"
"testsite445","yes"
"testsite446","yes"
"testsite447","yes"
"testsite448","yes"
"testsite449","yes"
"testsite450","yes"
"testsite451","yes"
"testsite452","yes"
"testsite453","yes"
"testsite454","yes"
"testsite455","yes"
"testsite456","yes"
"testsite457","yes"
"testsite458","yes"
"testsite459","yes"
"testsite460","yes"
"testsite461","yes"
"testsite462","yes"
"testsite463","yes"
"testsite464","yes"
"testsite465","yes"
"testsite466","yes"
"testsite467","yes"
"testsite468","yes"
"testsite469","yes"
"testsite470","yes"
"testsite471","yes"
"testsite472","yes"
"testsite473","yes"
"testsite474","yes"
"testsite475","yes"
"testsite476","yes"
"testsite477","yes"
"testsite478","yes"
"testsite479","yes"
"testsite480","yes"
"testsite481","yes"
"testsite482","yes"
"testsite483","yes"
"testsite484","yes"
"testsite485","yes"
"testsite486","yes"
"testsite487","yes"
"testsite488","yes"
"testsite489","yes"
"testsite490","yes"
"testsite491","yes"
"testsite492","yes"
"testsite493","yes"
"testsite494","yes"
"testsite495","yes"
"testsite496","yes"
"testsite497","yes"
"testsite498","yes"
"testsite499","yes"
"testsite500","yes"
"testsite501","yes"
"testsite502","yes"
"testsite503","yes"
"testsite504","yes"
"testsite505","yes"
"testsite506","yes"
"testsite507","yes"
"testsite508","yes"
"testsite509","yes"
"testsite510","yes"
"testsite511","yes"
"testsite512","yes"
"testsite513","yes"
"testsite514","yes"
"testsite515","yes"
"testsite516","yes"
"testsite517","yes"
"testsite518","yes"
"testsite519","yes"
"testsite520","yes"
"testsite521","yes"
"testsite522","yes"
"testsite523","yes"
"testsite524","yes"
"testsite525","yes"
"testsite526","yes"
"testsite527","yes"
"testsite528","yes"
"testsite529","yes"
"testsite530","yes"
"testsite531","yes"
"testsite532","yes"
"testsite533","yes"
"testsite534","yes"
"testsite535","yes"
"testsite536","yes"
"testsite537","yes"
"testsite538","yes"
"testsite539","yes"
"testsite540","yes"
"testsite541","yes"
"testsite542","yes"
"testsite543","yes"
"testsite544","yes"
"testsite545","yes"
"testsite546","yes"
"testsite547","yes"
"testsite548","yes"
"testsite549","yes"
"testsite550","yes"
"testsite551","yes"
"testsite552","yes"
"testsite553","yes"
"testsite554","yes"
"testsite555","yes"
"testsite556","yes"
"testsite557","yes"
"testsite558","yes"
"testsite559","yes"
"testsite560","yes"
"testsite561","yes"
"testsite562","yes"
"testsite563","yes"
"testsite564","yes"
"testsite565","yes"
"testsite566","yes"
"testsite567","yes"
"testsite568","yes"
"testsite569","yes"
"testsite570","yes"
"testsite571","yes"
"testsite572","yes"
"testsite573","yes"
"testsite574","yes"
"testsite575","yes"
"testsite576","yes"
"testsite577","yes"
"testsite578","yes"
"testsite579","yes"
"testsite580","yes"
"testsite581","yes"
"testsite582","yes"
"testsite583","yes"
"testsite584","yes"
"testsite585","yes"
"testsite586","yes"
"testsite587","yes"
"testsite588","yes"
"testsite589","yes"
"testsite590","yes"
"testsite591","yes"
"testsite592","yes"
"testsite593","yes"
"testsite594","yes"
"testsite595","yes"
"testsite596","yes"
"testsite597","yes"
"testsite598","yes"
"testsite599","yes"
"testsite600","yes"
"testsite601","yes"
"testsite602","yes"
"testsite603","yes"
"testsite604","yes"
"testsite605","yes"
"testsite606","yes"
"testsite607","yes"
"testsite608","yes"
"testsite609","yes"
"testsite610","yes"
"testsite611","yes"
"testsite612","yes"
"testsite613","yes"
"testsite614","yes"
"testsite615","yes"
"testsite616","yes"
"testsite617","yes"
"testsite618","yes"
"testsite619","yes"
"testsite620","yes"
"testsite621","yes"
"testsite622","yes"
"testsite623","yes"
"testsite624","yes"
"testsite625","yes"
"testsite626","yes"
"testsite627","yes"
"testsite628","yes"
"testsite629","yes"
"testsite630","yes"
"testsite631","yes"
"testsite632","yes"
"testsite633","yes"
"testsite634","yes"
"testsite635","yes"
"testsite636","yes"
"testsite637","yes"
"testsite638","yes"
"testsite639","yes"
"testsite640","yes"
"testsite641","yes"
"testsite642","yes"
"testsite643","yes"
"testsite644","yes"
"testsite645","yes"
"testsite646","yes"
"testsite647","yes"
"testsite648","yes"
"testsite649","yes"
"testsite650","yes"
"testsite651","yes"
"testsite652","yes"
"testsite653","yes"
"testsite654","yes"
"testsite655","yes"
"testsite656","yes"
"testsite657","yes"
"testsite658","yes"
"testsite659","yes"
"testsite660","yes"
"testsite661","yes"
"testsite662","yes"
"testsite663","yes"
"testsite664","yes"
"testsite665","yes"
"testsite666","yes"
"testsite667","yes"
"testsite668","yes"
"testsite669","yes"
"testsite670","yes"
"testsite671","yes"
"testsite672","yes"
"testsite673","yes"
"testsite674","yes"
"testsite675","yes"
"testsite676","yes"
"testsite677","yes"
"testsite678","yes"
"testsite679","yes"
"testsite680","yes"
"testsite681","yes"
"testsite682","yes"
"testsite683","yes"
"testsite684","yes"
"testsite685","yes"
"testsite686","yes"
"testsite687","yes"
"testsite688","yes"
"testsite689","yes"
"testsite690","yes"
"testsite691","yes"
"testsite692","yes"
"testsite693","yes"
"testsite694","yes"
"testsite695","yes"
"testsite696","yes"
"testsite697","yes"
"testsite698","yes"
"testsite699","yes"
"testsite700","yes"
"testsite701","yes"
"testsite702","yes"
"testsite703","yes"
"testsite704","yes"
"testsite705","yes"
"testsite706","yes"
"testsite707","yes"
"testsite708","yes"
"testsite709","yes"
"testsite710","yes"
"testsite711","yes"
"testsite712","yes"
"testsite713","yes"
"testsite714","yes"
"testsite715","yes"
"testsite716","yes"
"testsite717","yes"
"testsite718","yes"
"testsite719","yes"
"testsite720","yes"
"testsite721","yes"
"testsite722","yes"
"testsite723","yes"
"testsite724","yes"
"testsite725","yes"
"testsite726","yes"
"testsite727","yes"
"testsite728","yes"
"testsite729","yes"
"testsite730","yes"
"testsite731","yes"
"testsite732","yes"
"testsite733","yes"
"testsite734","yes"
"testsite735","yes"
"testsite736","yes"
"testsite737","yes"
"testsite738","yes"
"testsite739","yes"
"testsite740","yes"
"testsite741","yes"
"testsite742","yes"
"testsite743","yes"
"testsite744","yes"
"testsite745","yes"
"testsite746","yes"
"testsite747","yes"
"testsite748","yes"
"testsite749","yes"
"testsite750","yes"
"testsite751","yes"
"testsite752","yes"
"testsite753","yes"
"testsite754","yes"
"testsite755","yes"
"testsite756","yes"
"testsite757","yes"
"testsite758","yes"
"testsite759","yes"
"testsite760","yes"
"testsite761","yes"
"testsite762","yes"
"testsite763","yes"
"testsite764","yes"
"testsite765","yes"
"testsite766","yes"
"testsite767","yes"
"testsite768","yes"
"testsite769","yes"
"testsite770","yes"
"testsite771","yes"
"testsite772","yes"
"testsite773","yes"
"testsite774","yes"
"testsite775","yes"
"testsite776","yes"
"testsite777","yes"
"testsite778","yes"
"testsite779","yes"
"testsite780","yes"
"testsite781","yes"
"testsite782","yes"
"testsite783","yes"
"testsite784","yes"
"testsite785","yes"
"testsite786","yes"
"testsite787","yes"
"testsite788","yes"
"testsite789","yes"
"testsite790","yes"
"testsite791","yes"
"testsite792","yes"
"testsite793","yes"
"testsite794","yes"
"testsite795","yes"
"testsite796","yes"
"testsite797","yes"
"testsite798","yes"
"testsite799","yes"
"testsite800","yes"
"testsite801","yes"
"testsite802","yes"
"testsite803","yes"
"testsite804","yes"
"testsite805","yes"
"testsite806","yes"
"testsite807","yes"
"testsite808","yes"
"testsite809","yes"
"testsite810","yes"
"testsite811","yes"
"testsite812","yes"
"testsite813","yes"
"testsite814","yes"
"testsite815","yes"
"testsite816","yes"
"testsite817","yes"
"testsite818","yes"
"testsite819","yes"
"testsite820","yes"
"testsite821","yes"
"testsite822","yes"
"testsite823","yes"
"testsite824","yes"
"testsite825","yes"
"testsite826","yes"
"testsite827","yes"
"testsite828","yes"
"testsite829","yes"
"testsite830","yes"
"testsite831","yes"
"testsite832","yes"
"testsite833","yes"
"testsite834","yes"
"testsite835","yes"
"testsite836","yes"
"testsite837","yes"
"testsite838","yes"
"testsite839","yes"
"testsite840","yes"
"testsite841","yes"
"testsite842","yes"
"testsite843","yes"
"testsite844","yes"
"testsite845","yes"
"testsite846","yes"
"testsite847","yes"
"testsite848","yes"
"testsite849","yes"
"testsite850","yes"
"testsite851","yes"
"testsite852","yes"
"testsite853","yes"
"testsite854","yes"
"testsite855","yes"
"testsite856","yes"
"testsite857","yes"
"testsite858","yes"
"testsite859","yes"
"testsite860","yes"
"testsite861","yes"
"testsite862","yes"
"testsite863","yes"
"testsite864","yes"
"testsite865","yes"
"testsite866","yes"
"testsite867","yes"
"testsite868","yes"
"testsite869","yes"
"testsite870","yes"
"testsite871","yes"
"testsite872","yes"
"testsite873","yes"
"testsite874","yes"
"testsite875","yes"
"testsite876","yes"
"testsite877","yes"
"testsite878","yes"
"testsite879","yes"
"testsite880","yes"
"testsite881","yes"
"testsite882","yes"
"testsite883","yes"
"testsite884","yes"
"testsite885","yes"
"testsite886","yes"
"testsite887","yes"
"testsite888","yes"
"testsite889","yes"
"testsite890","yes"
"testsite891","yes"
"testsite892","yes"
"testsite893","yes"
"testsite894","yes"
"testsite895","yes"
"testsite896","yes"
"testsite897","yes"
"testsite898","yes"
"testsite899","yes"
"testsite900","yes"
"testsite901","yes"
"testsite902","yes"
"testsite903","yes"
"testsite904","yes"
"testsite905","yes"
"testsite906","yes"
"testsite907","yes"
"testsite908","yes"
"testsite909","yes"
"testsite910","yes"
"testsite911","yes"
"testsite912","yes"
"testsite913","yes"
"testsite914","yes"
"testsite915","yes"
"testsite916","yes"
"testsite917","yes"
"testsite918","yes"
"testsite919","yes"
"testsite920","yes"
"testsite921","yes"
"testsite922","yes"
"testsite923","yes"
"testsite924","yes"
"testsite925","yes"
"testsite926","yes"
"testsite927","yes"
"testsite928","yes"
"testsite929","yes"
"testsite930","yes"
"testsite931","yes"
"testsite932","yes"
"testsite933","yes"
"testsite934","yes"
"testsite935","yes"
"testsite936","yes"
"testsite937","yes"
"testsite938","yes"
"testsite939","yes"
"testsite940","yes"
"testsite941","yes"
"testsite942","yes"
"testsite943","yes"
"testsite944","yes"
"testsite945","yes"
"testsite946","yes"
"testsite947","yes"
"testsite948","yes"
"testsite949","yes"
"testsite950","yes"
"testsite951","yes"
"testsite952","yes"
"testsite953","yes"
"testsite954","yes"
"testsite955","yes"
"testsite956","yes"
"testsite957","yes"
"testsite958","yes"
"testsite959","yes"
"testsite960","yes"
"testsite961","yes"
"testsite962","yes"
"testsite963","yes"
"testsite964","yes"
"testsite965","yes"
"testsite966","yes"
"testsite967","yes"
"testsite968","yes"
"testsite969","yes"
"testsite970","yes"
"testsite971","yes"
"testsite972","yes"
"testsite973","yes"
"testsite974","yes"
"testsite975","yes"
"testsite976","yes"
"testsite977","yes"
"testsite978","yes"
"testsite979","yes"
"testsite980","yes"
"testsite981","yes"
"testsite982","yes"
"testsite983","yes"
"testsite984","yes"
"testsite985","yes"
"testsite986","yes"
"testsite987","yes"
"testsite988","yes"
"testsite989","yes"
"testsite990","yes"
"testsite991","yes"
"testsite992","yes"
"testsite993","yes"
"testsite994","yes"
"testsite995","yes"
"testsite996","yes"
"testsite997","yes"
"testsite998","yes"
"testsite999","yes"
"testsite1000","yes"
