"group","sakai:joinable"
"testgroup97","yes"
"testgroup98","yes"
"testgroup99","yes"
"testgroup100","yes"
"testgroup101","yes"
"testgroup102","yes"
"testgroup103","yes"
"testgroup104","yes"
"testgroup105","yes"
"testgroup106","yes"
"testgroup107","yes"
"testgroup108","yes"
"testgroup109","yes"
"testgroup110","yes"
"testgroup111","yes"
"testgroup112","yes"
"testgroup113","yes"
"testgroup114","yes"
"testgroup115","yes"
"testgroup116","yes"
"testgroup117","yes"
"testgroup118","yes"
"testgroup119","yes"
"testgroup120","yes"
"testgroup121","yes"
"testgroup122","yes"
"testgroup123","yes"
"testgroup124","yes"
"testgroup125","yes"
"testgroup126","yes"
"testgroup127","yes"
"testgroup128","yes"
"testgroup129","yes"
"testgroup130","yes"
"testgroup131","yes"
"testgroup132","yes"
"testgroup133","yes"
"testgroup134","yes"
"testgroup135","yes"
"testgroup136","yes"
"testgroup137","yes"
"testgroup138","yes"
"testgroup139","yes"
"testgroup140","yes"
"testgroup141","yes"
"testgroup142","yes"
"testgroup143","yes"
"testgroup144","yes"
"testgroup145","yes"
"testgroup146","yes"
"testgroup147","yes"
"testgroup148","yes"
"testgroup149","yes"
"testgroup150","yes"
"testgroup151","yes"
"testgroup152","yes"
"testgroup153","yes"
"testgroup154","yes"
"testgroup155","yes"
"testgroup156","yes"
"testgroup157","yes"
"testgroup158","yes"
"testgroup159","yes"
"testgroup160","yes"
"testgroup161","yes"
"testgroup162","yes"
"testgroup163","yes"
"testgroup164","yes"
"testgroup165","yes"
"testgroup166","yes"
"testgroup167","yes"
"testgroup168","yes"
"testgroup169","yes"
"testgroup170","yes"
"testgroup171","yes"
"testgroup172","yes"
"testgroup173","yes"
"testgroup174","yes"
"testgroup175","yes"
"testgroup176","yes"
"testgroup177","yes"
"testgroup178","yes"
"testgroup179","yes"
"testgroup180","yes"
"testgroup181","yes"
"testgroup182","yes"
"testgroup183","yes"
"testgroup184","yes"
"testgroup185","yes"
"testgroup186","yes"
"testgroup187","yes"
"testgroup188","yes"
"testgroup189","yes"
"testgroup190","yes"
"testgroup191","yes"
"testgroup192","yes"
"testgroup193","yes"
"testgroup194","yes"
"testgroup195","yes"
"testgroup196","yes"
"testgroup197","yes"
"testgroup198","yes"
"testgroup199","yes"
"testgroup200","yes"
"testgroup201","yes"
"testgroup202","yes"
"testgroup203","yes"
"testgroup204","yes"
"testgroup205","yes"
"testgroup206","yes"
"testgroup207","yes"
"testgroup208","yes"
"testgroup209","yes"
"testgroup210","yes"
"testgroup211","yes"
"testgroup212","yes"
"testgroup213","yes"
"testgroup214","yes"
"testgroup215","yes"
"testgroup216","yes"
"testgroup217","yes"
"testgroup218","yes"
"testgroup219","yes"
"testgroup220","yes"
"testgroup221","yes"
"testgroup222","yes"
"testgroup223","yes"
"testgroup224","yes"
"testgroup225","yes"
"testgroup226","yes"
"testgroup227","yes"
"testgroup228","yes"
"testgroup229","yes"
"testgroup230","yes"
"testgroup231","yes"
"testgroup232","yes"
"testgroup233","yes"
"testgroup234","yes"
"testgroup235","yes"
"testgroup236","yes"
"testgroup237","yes"
"testgroup238","yes"
"testgroup239","yes"
"testgroup240","yes"
"testgroup241","yes"
"testgroup242","yes"
"testgroup243","yes"
"testgroup244","yes"
"testgroup245","yes"
"testgroup246","yes"
"testgroup247","yes"
"testgroup248","yes"
"testgroup249","yes"
"testgroup250","yes"
"testgroup251","yes"
"testgroup252","yes"
"testgroup253","yes"
"testgroup254","yes"
"testgroup255","yes"
"testgroup256","yes"
"testgroup257","yes"
"testgroup258","yes"
"testgroup259","yes"
"testgroup260","yes"
"testgroup261","yes"
"testgroup262","yes"
"testgroup263","yes"
"testgroup264","yes"
"testgroup265","yes"
"testgroup266","yes"
"testgroup267","yes"
"testgroup268","yes"
"testgroup269","yes"
"testgroup270","yes"
"testgroup271","yes"
"testgroup272","yes"
"testgroup273","yes"
"testgroup274","yes"
"testgroup275","yes"
"testgroup276","yes"
"testgroup277","yes"
"testgroup278","yes"
"testgroup279","yes"
"testgroup280","yes"
"testgroup281","yes"
"testgroup282","yes"
"testgroup283","yes"
"testgroup284","yes"
"testgroup285","yes"
"testgroup286","yes"
"testgroup287","yes"
"testgroup288","yes"
"testgroup289","yes"
"testgroup290","yes"
"testgroup291","yes"
"testgroup292","yes"
"testgroup293","yes"
"testgroup294","yes"
"testgroup295","yes"
"testgroup296","yes"
"testgroup297","yes"
"testgroup298","yes"
"testgroup299","yes"
"testgroup300","yes"
"testgroup301","yes"
"testgroup302","yes"
"testgroup303","yes"
"testgroup304","yes"
"testgroup305","yes"
"testgroup306","yes"
"testgroup307","yes"
"testgroup308","yes"
"testgroup309","yes"
"testgroup310","yes"
"testgroup311","yes"
"testgroup312","yes"
"testgroup313","yes"
"testgroup314","yes"
"testgroup315","yes"
"testgroup316","yes"
"testgroup317","yes"
"testgroup318","yes"
"testgroup319","yes"
"testgroup320","yes"
"testgroup321","yes"
"testgroup322","yes"
"testgroup323","yes"
"testgroup324","yes"
"testgroup325","yes"
"testgroup326","yes"
"testgroup327","yes"
"testgroup328","yes"
"testgroup329","yes"
"testgroup330","yes"
"testgroup331","yes"
"testgroup332","yes"
"testgroup333","yes"
"testgroup334","yes"
"testgroup335","yes"
"testgroup336","yes"
"testgroup337","yes"
"testgroup338","yes"
"testgroup339","yes"
"testgroup340","yes"
"testgroup341","yes"
"testgroup342","yes"
"testgroup343","yes"
"testgroup344","yes"
"testgroup345","yes"
"testgroup346","yes"
"testgroup347","yes"
"testgroup348","yes"
"testgroup349","yes"
"testgroup350","yes"
"testgroup351","yes"
"testgroup352","yes"
"testgroup353","yes"
"testgroup354","yes"
"testgroup355","yes"
"testgroup356","yes"
"testgroup357","yes"
"testgroup358","yes"
"testgroup359","yes"
"testgroup360","yes"
"testgroup361","yes"
"testgroup362","yes"
"testgroup363","yes"
"testgroup364","yes"
"testgroup365","yes"
"testgroup366","yes"
"testgroup367","yes"
"testgroup368","yes"
"testgroup369","yes"
"testgroup370","yes"
"testgroup371","yes"
"testgroup372","yes"
"testgroup373","yes"
"testgroup374","yes"
"testgroup375","yes"
"testgroup376","yes"
"testgroup377","yes"
"testgroup378","yes"
"testgroup379","yes"
"testgroup380","yes"
"testgroup381","yes"
"testgroup382","yes"
"testgroup383","yes"
"testgroup384","yes"
"testgroup385","yes"
"testgroup386","yes"
"testgroup387","yes"
"testgroup388","yes"
"testgroup389","yes"
"testgroup390","yes"
"testgroup391","yes"
"testgroup392","yes"
"testgroup393","yes"
"testgroup394","yes"
"testgroup395","yes"
"testgroup396","yes"
"testgroup397","yes"
"testgroup398","yes"
"testgroup399","yes"
"testgroup400","yes"
"testgroup401","yes"
"testgroup402","yes"
"testgroup403","yes"
"testgroup404","yes"
"testgroup405","yes"
"testgroup406","yes"
"testgroup407","yes"
"testgroup408","yes"
"testgroup409","yes"
"testgroup410","yes"
"testgroup411","yes"
"testgroup412","yes"
"testgroup413","yes"
"testgroup414","yes"
"testgroup415","yes"
"testgroup416","yes"
"testgroup417","yes"
"testgroup418","yes"
"testgroup419","yes"
"testgroup420","yes"
"testgroup421","yes"
"testgroup422","yes"
"testgroup423","yes"
"testgroup424","yes"
"testgroup425","yes"
"testgroup426","yes"
"testgroup427","yes"
"testgroup428","yes"
"testgroup429","yes"
"testgroup430","yes"
"testgroup431","yes"
"testgroup432","yes"
"testgroup433","yes"
"testgroup434","yes"
"testgroup435","yes"
"testgroup436","yes"
"testgroup437","yes"
"testgroup438","yes"
"testgroup439","yes"
"testgroup440","yes"
"testgroup441","yes"
"testgroup442","yes"
"testgroup443","yes"
"testgroup444","yes"
"testgroup445","yes"
"testgroup446","yes"
"testgroup447","yes"
"testgroup448","yes"
"testgroup449","yes"
"testgroup450","yes"
"testgroup451","yes"
"testgroup452","yes"
"testgroup453","yes"
"testgroup454","yes"
"testgroup455","yes"
"testgroup456","yes"
"testgroup457","yes"
"testgroup458","yes"
"testgroup459","yes"
"testgroup460","yes"
"testgroup461","yes"
"testgroup462","yes"
"testgroup463","yes"
"testgroup464","yes"
"testgroup465","yes"
"testgroup466","yes"
"testgroup467","yes"
"testgroup468","yes"
"testgroup469","yes"
"testgroup470","yes"
"testgroup471","yes"
"testgroup472","yes"
"testgroup473","yes"
"testgroup474","yes"
"testgroup475","yes"
"testgroup476","yes"
"testgroup477","yes"
"testgroup478","yes"
"testgroup479","yes"
"testgroup480","yes"
"testgroup481","yes"
"testgroup482","yes"
"testgroup483","yes"
"testgroup484","yes"
"testgroup485","yes"
"testgroup486","yes"
"testgroup487","yes"
"testgroup488","yes"
"testgroup489","yes"
"testgroup490","yes"
"testgroup491","yes"
"testgroup492","yes"
"testgroup493","yes"
"testgroup494","yes"
"testgroup495","yes"
"testgroup496","yes"
"testgroup497","yes"
"testgroup498","yes"
"testgroup499","yes"
"testgroup500","yes"
"testgroup501","yes"
"testgroup502","yes"
"testgroup503","yes"
"testgroup504","yes"
"testgroup505","yes"
"testgroup506","yes"
"testgroup507","yes"
"testgroup508","yes"
"testgroup509","yes"
"testgroup510","yes"
"testgroup511","yes"
"testgroup512","yes"
"testgroup513","yes"
"testgroup514","yes"
"testgroup515","yes"
"testgroup516","yes"
"testgroup517","yes"
"testgroup518","yes"
"testgroup519","yes"
"testgroup520","yes"
"testgroup521","yes"
"testgroup522","yes"
"testgroup523","yes"
"testgroup524","yes"
"testgroup525","yes"
"testgroup526","yes"
"testgroup527","yes"
"testgroup528","yes"
"testgroup529","yes"
"testgroup530","yes"
"testgroup531","yes"
"testgroup532","yes"
"testgroup533","yes"
"testgroup534","yes"
"testgroup535","yes"
"testgroup536","yes"
"testgroup537","yes"
"testgroup538","yes"
"testgroup539","yes"
"testgroup540","yes"
"testgroup541","yes"
"testgroup542","yes"
"testgroup543","yes"
"testgroup544","yes"
"testgroup545","yes"
"testgroup546","yes"
"testgroup547","yes"
"testgroup548","yes"
"testgroup549","yes"
"testgroup550","yes"
"testgroup551","yes"
"testgroup552","yes"
"testgroup553","yes"
"testgroup554","yes"
"testgroup555","yes"
"testgroup556","yes"
"testgroup557","yes"
"testgroup558","yes"
"testgroup559","yes"
"testgroup560","yes"
"testgroup561","yes"
"testgroup562","yes"
"testgroup563","yes"
"testgroup564","yes"
"testgroup565","yes"
"testgroup566","yes"
"testgroup567","yes"
"testgroup568","yes"
"testgroup569","yes"
"testgroup570","yes"
"testgroup571","yes"
"testgroup572","yes"
"testgroup573","yes"
"testgroup574","yes"
"testgroup575","yes"
"testgroup576","yes"
"testgroup577","yes"
"testgroup578","yes"
"testgroup579","yes"
"testgroup580","yes"
"testgroup581","yes"
"testgroup582","yes"
"testgroup583","yes"
"testgroup584","yes"
"testgroup585","yes"
"testgroup586","yes"
"testgroup587","yes"
"testgroup588","yes"
"testgroup589","yes"
"testgroup590","yes"
"testgroup591","yes"
"testgroup592","yes"
"testgroup593","yes"
"testgroup594","yes"
"testgroup595","yes"
"testgroup596","yes"
"testgroup597","yes"
"testgroup598","yes"
"testgroup599","yes"
"testgroup600","yes"
"testgroup601","yes"
"testgroup602","yes"
"testgroup603","yes"
"testgroup604","yes"
"testgroup605","yes"
"testgroup606","yes"
"testgroup607","yes"
"testgroup608","yes"
"testgroup609","yes"
"testgroup610","yes"
"testgroup611","yes"
"testgroup612","yes"
"testgroup613","yes"
"testgroup614","yes"
"testgroup615","yes"
"testgroup616","yes"
"testgroup617","yes"
"testgroup618","yes"
"testgroup619","yes"
"testgroup620","yes"
"testgroup621","yes"
"testgroup622","yes"
"testgroup623","yes"
"testgroup624","yes"
"testgroup625","yes"
"testgroup626","yes"
"testgroup627","yes"
"testgroup628","yes"
"testgroup629","yes"
"testgroup630","yes"
"testgroup631","yes"
"testgroup632","yes"
"testgroup633","yes"
"testgroup634","yes"
"testgroup635","yes"
"testgroup636","yes"
"testgroup637","yes"
"testgroup638","yes"
"testgroup639","yes"
"testgroup640","yes"
"testgroup641","yes"
"testgroup642","yes"
"testgroup643","yes"
"testgroup644","yes"
"testgroup645","yes"
"testgroup646","yes"
"testgroup647","yes"
"testgroup648","yes"
"testgroup649","yes"
"testgroup650","yes"
"testgroup651","yes"
"testgroup652","yes"
"testgroup653","yes"
"testgroup654","yes"
"testgroup655","yes"
"testgroup656","yes"
"testgroup657","yes"
"testgroup658","yes"
"testgroup659","yes"
"testgroup660","yes"
"testgroup661","yes"
"testgroup662","yes"
"testgroup663","yes"
"testgroup664","yes"
"testgroup665","yes"
"testgroup666","yes"
"testgroup667","yes"
"testgroup668","yes"
"testgroup669","yes"
"testgroup670","yes"
"testgroup671","yes"
"testgroup672","yes"
"testgroup673","yes"
"testgroup674","yes"
"testgroup675","yes"
"testgroup676","yes"
"testgroup677","yes"
"testgroup678","yes"
"testgroup679","yes"
"testgroup680","yes"
"testgroup681","yes"
"testgroup682","yes"
"testgroup683","yes"
"testgroup684","yes"
"testgroup685","yes"
"testgroup686","yes"
"testgroup687","yes"
"testgroup688","yes"
"testgroup689","yes"
"testgroup690","yes"
"testgroup691","yes"
"testgroup692","yes"
"testgroup693","yes"
"testgroup694","yes"
"testgroup695","yes"
"testgroup696","yes"
"testgroup697","yes"
"testgroup698","yes"
"testgroup699","yes"
"testgroup700","yes"
"testgroup701","yes"
"testgroup702","yes"
"testgroup703","yes"
"testgroup704","yes"
"testgroup705","yes"
"testgroup706","yes"
"testgroup707","yes"
"testgroup708","yes"
"testgroup709","yes"
"testgroup710","yes"
"testgroup711","yes"
"testgroup712","yes"
"testgroup713","yes"
"testgroup714","yes"
"testgroup715","yes"
"testgroup716","yes"
"testgroup717","yes"
"testgroup718","yes"
"testgroup719","yes"
"testgroup720","yes"
"testgroup721","yes"
"testgroup722","yes"
"testgroup723","yes"
"testgroup724","yes"
"testgroup725","yes"
"testgroup726","yes"
"testgroup727","yes"
"testgroup728","yes"
"testgroup729","yes"
"testgroup730","yes"
"testgroup731","yes"
"testgroup732","yes"
"testgroup733","yes"
"testgroup734","yes"
"testgroup735","yes"
"testgroup736","yes"
"testgroup737","yes"
"testgroup738","yes"
"testgroup739","yes"
"testgroup740","yes"
"testgroup741","yes"
"testgroup742","yes"
"testgroup743","yes"
"testgroup744","yes"
"testgroup745","yes"
"testgroup746","yes"
"testgroup747","yes"
"testgroup748","yes"
"testgroup749","yes"
"testgroup750","yes"
"testgroup751","yes"
"testgroup752","yes"
"testgroup753","yes"
"testgroup754","yes"
"testgroup755","yes"
"testgroup756","yes"
"testgroup757","yes"
"testgroup758","yes"
"testgroup759","yes"
"testgroup760","yes"
"testgroup761","yes"
"testgroup762","yes"
"testgroup763","yes"
"testgroup764","yes"
"testgroup765","yes"
"testgroup766","yes"
"testgroup767","yes"
"testgroup768","yes"
"testgroup769","yes"
"testgroup770","yes"
"testgroup771","yes"
"testgroup772","yes"
"testgroup773","yes"
"testgroup774","yes"
"testgroup775","yes"
"testgroup776","yes"
"testgroup777","yes"
"testgroup778","yes"
"testgroup779","yes"
"testgroup780","yes"
"testgroup781","yes"
"testgroup782","yes"
"testgroup783","yes"
"testgroup784","yes"
"testgroup785","yes"
"testgroup786","yes"
"testgroup787","yes"
"testgroup788","yes"
"testgroup789","yes"
"testgroup790","yes"
"testgroup791","yes"
"testgroup792","yes"
"testgroup793","yes"
"testgroup794","yes"
"testgroup795","yes"
"testgroup796","yes"
"testgroup797","yes"
"testgroup798","yes"
"testgroup799","yes"
"testgroup800","yes"
"testgroup801","yes"
"testgroup802","yes"
"testgroup803","yes"
"testgroup804","yes"
"testgroup805","yes"
"testgroup806","yes"
"testgroup807","yes"
"testgroup808","yes"
"testgroup809","yes"
"testgroup810","yes"
"testgroup811","yes"
"testgroup812","yes"
"testgroup813","yes"
"testgroup814","yes"
"testgroup815","yes"
"testgroup816","yes"
"testgroup817","yes"
"testgroup818","yes"
"testgroup819","yes"
"testgroup820","yes"
"testgroup821","yes"
"testgroup822","yes"
"testgroup823","yes"
"testgroup824","yes"
"testgroup825","yes"
"testgroup826","yes"
"testgroup827","yes"
"testgroup828","yes"
"testgroup829","yes"
"testgroup830","yes"
"testgroup831","yes"
"testgroup832","yes"
"testgroup833","yes"
"testgroup834","yes"
"testgroup835","yes"
"testgroup836","yes"
"testgroup837","yes"
"testgroup838","yes"
"testgroup839","yes"
"testgroup840","yes"
"testgroup841","yes"
"testgroup842","yes"
"testgroup843","yes"
"testgroup844","yes"
"testgroup845","yes"
"testgroup846","yes"
"testgroup847","yes"
"testgroup848","yes"
"testgroup849","yes"
"testgroup850","yes"
"testgroup851","yes"
"testgroup852","yes"
"testgroup853","yes"
"testgroup854","yes"
"testgroup855","yes"
"testgroup856","yes"
"testgroup857","yes"
"testgroup858","yes"
"testgroup859","yes"
"testgroup860","yes"
"testgroup861","yes"
"testgroup862","yes"
"testgroup863","yes"
"testgroup864","yes"
"testgroup865","yes"
"testgroup866","yes"
"testgroup867","yes"
"testgroup868","yes"
"testgroup869","yes"
"testgroup870","yes"
"testgroup871","yes"
"testgroup872","yes"
"testgroup873","yes"
"testgroup874","yes"
"testgroup875","yes"
"testgroup876","yes"
"testgroup877","yes"
"testgroup878","yes"
"testgroup879","yes"
"testgroup880","yes"
"testgroup881","yes"
"testgroup882","yes"
"testgroup883","yes"
"testgroup884","yes"
"testgroup885","yes"
"testgroup886","yes"
"testgroup887","yes"
"testgroup888","yes"
"testgroup889","yes"
"testgroup890","yes"
"testgroup891","yes"
"testgroup892","yes"
"testgroup893","yes"
"testgroup894","yes"
"testgroup895","yes"
"testgroup896","yes"
"testgroup897","yes"
"testgroup898","yes"
"testgroup899","yes"
"testgroup900","yes"
"testgroup901","yes"
"testgroup902","yes"
"testgroup903","yes"
"testgroup904","yes"
"testgroup905","yes"
"testgroup906","yes"
"testgroup907","yes"
"testgroup908","yes"
"testgroup909","yes"
"testgroup910","yes"
"testgroup911","yes"
"testgroup912","yes"
"testgroup913","yes"
"testgroup914","yes"
"testgroup915","yes"
"testgroup916","yes"
"testgroup917","yes"
"testgroup918","yes"
"testgroup919","yes"
"testgroup920","yes"
"testgroup921","yes"
"testgroup922","yes"
"testgroup923","yes"
"testgroup924","yes"
"testgroup925","yes"
"testgroup926","yes"
"testgroup927","yes"
"testgroup928","yes"
"testgroup929","yes"
"testgroup930","yes"
"testgroup931","yes"
"testgroup932","yes"
"testgroup933","yes"
"testgroup934","yes"
"testgroup935","yes"
"testgroup936","yes"
"testgroup937","yes"
"testgroup938","yes"
"testgroup939","yes"
"testgroup940","yes"
"testgroup941","yes"
"testgroup942","yes"
"testgroup943","yes"
"testgroup944","yes"
"testgroup945","yes"
"testgroup946","yes"
"testgroup947","yes"
"testgroup948","yes"
"testgroup949","yes"
"testgroup950","yes"
"testgroup951","yes"
"testgroup952","yes"
"testgroup953","yes"
"testgroup954","yes"
"testgroup955","yes"
"testgroup956","yes"
"testgroup957","yes"
"testgroup958","yes"
"testgroup959","yes"
"testgroup960","yes"
"testgroup961","yes"
"testgroup962","yes"
"testgroup963","yes"
"testgroup964","yes"
"testgroup965","yes"
"testgroup966","yes"
"testgroup967","yes"
"testgroup968","yes"
"testgroup969","yes"
"testgroup970","yes"
"testgroup971","yes"
"testgroup972","yes"
"testgroup973","yes"
"testgroup974","yes"
"testgroup975","yes"
"testgroup976","yes"
"testgroup977","yes"
"testgroup978","yes"
"testgroup979","yes"
"testgroup980","yes"
"testgroup981","yes"
"testgroup982","yes"
"testgroup983","yes"
"testgroup984","yes"
"testgroup985","yes"
"testgroup986","yes"
"testgroup987","yes"
"testgroup988","yes"
"testgroup989","yes"
"testgroup990","yes"
"testgroup991","yes"
"testgroup992","yes"
"testgroup993","yes"
"testgroup994","yes"
"testgroup995","yes"
"testgroup996","yes"
"testgroup997","yes"
"testgroup998","yes"
"testgroup999","yes"
"testgroup1000","yes"
"testgroup1001","yes"
"testgroup1002","yes"
"testgroup1003","yes"
"testgroup1004","yes"
"testgroup1005","yes"
"testgroup1006","yes"
"testgroup1007","yes"
"testgroup1008","yes"
"testgroup1009","yes"
"testgroup1010","yes"
"testgroup1011","yes"
"testgroup1012","yes"
"testgroup1013","yes"
"testgroup1014","yes"
"testgroup1015","yes"
"testgroup1016","yes"
"testgroup1017","yes"
"testgroup1018","yes"
"testgroup1019","yes"
"testgroup1020","yes"
"testgroup1021","yes"
"testgroup1022","yes"
"testgroup1023","yes"
"testgroup1024","yes"
"testgroup1025","yes"
"testgroup1026","yes"
"testgroup1027","yes"
"testgroup1028","yes"
"testgroup1029","yes"
"testgroup1030","yes"
"testgroup1031","yes"
"testgroup1032","yes"
"testgroup1033","yes"
"testgroup1034","yes"
"testgroup1035","yes"
"testgroup1036","yes"
"testgroup1037","yes"
"testgroup1038","yes"
"testgroup1039","yes"
"testgroup1040","yes"
"testgroup1041","yes"
"testgroup1042","yes"
"testgroup1043","yes"
"testgroup1044","yes"
"testgroup1045","yes"
"testgroup1046","yes"
"testgroup1047","yes"
"testgroup1048","yes"
"testgroup1049","yes"
"testgroup1050","yes"
"testgroup1051","yes"
"testgroup1052","yes"
"testgroup1053","yes"
"testgroup1054","yes"
"testgroup1055","yes"
"testgroup1056","yes"
"testgroup1057","yes"
"testgroup1058","yes"
"testgroup1059","yes"
"testgroup1060","yes"
"testgroup1061","yes"
"testgroup1062","yes"
"testgroup1063","yes"
"testgroup1064","yes"
"testgroup1065","yes"
"testgroup1066","yes"
"testgroup1067","yes"
"testgroup1068","yes"
"testgroup1069","yes"
"testgroup1070","yes"
"testgroup1071","yes"
"testgroup1072","yes"
"testgroup1073","yes"
"testgroup1074","yes"
"testgroup1075","yes"
"testgroup1076","yes"
"testgroup1077","yes"
"testgroup1078","yes"
"testgroup1079","yes"
"testgroup1080","yes"
"testgroup1081","yes"
"testgroup1082","yes"
"testgroup1083","yes"
"testgroup1084","yes"
"testgroup1085","yes"
"testgroup1086","yes"
"testgroup1087","yes"
"testgroup1088","yes"
"testgroup1089","yes"
"testgroup1090","yes"
"testgroup1091","yes"
"testgroup1092","yes"
"testgroup1093","yes"
"testgroup1094","yes"
"testgroup1095","yes"
"testgroup1096","yes"
"testgroup1097","yes"
"testgroup1098","yes"
"testgroup1099","yes"
"testgroup1100","yes"
"testgroup1101","yes"
"testgroup1102","yes"
"testgroup1103","yes"
"testgroup1104","yes"
"testgroup1105","yes"
"testgroup1106","yes"
"testgroup1107","yes"
"testgroup1108","yes"
"testgroup1109","yes"
"testgroup1110","yes"
"testgroup1111","yes"
"testgroup1112","yes"
"testgroup1113","yes"
"testgroup1114","yes"
"testgroup1115","yes"
"testgroup1116","yes"
"testgroup1117","yes"
"testgroup1118","yes"
"testgroup1119","yes"
"testgroup1120","yes"
"testgroup1121","yes"
"testgroup1122","yes"
"testgroup1123","yes"
"testgroup1124","yes"
"testgroup1125","yes"
"testgroup1126","yes"
"testgroup1127","yes"
"testgroup1128","yes"
"testgroup1129","yes"
"testgroup1130","yes"
"testgroup1131","yes"
"testgroup1132","yes"
"testgroup1133","yes"
"testgroup1134","yes"
"testgroup1135","yes"
"testgroup1136","yes"
"testgroup1137","yes"
"testgroup1138","yes"
"testgroup1139","yes"
"testgroup1140","yes"
"testgroup1141","yes"
"testgroup1142","yes"
"testgroup1143","yes"
"testgroup1144","yes"
"testgroup1145","yes"
"testgroup1146","yes"
"testgroup1147","yes"
"testgroup1148","yes"
"testgroup1149","yes"
"testgroup1150","yes"
"testgroup1151","yes"
"testgroup1152","yes"
"testgroup1153","yes"
"testgroup1154","yes"
"testgroup1155","yes"
"testgroup1156","yes"
"testgroup1157","yes"
"testgroup1158","yes"
"testgroup1159","yes"
"testgroup1160","yes"
"testgroup1161","yes"
"testgroup1162","yes"
"testgroup1163","yes"
"testgroup1164","yes"
"testgroup1165","yes"
"testgroup1166","yes"
"testgroup1167","yes"
"testgroup1168","yes"
"testgroup1169","yes"
"testgroup1170","yes"
"testgroup1171","yes"
"testgroup1172","yes"
"testgroup1173","yes"
"testgroup1174","yes"
"testgroup1175","yes"
"testgroup1176","yes"
"testgroup1177","yes"
"testgroup1178","yes"
"testgroup1179","yes"
"testgroup1180","yes"
"testgroup1181","yes"
"testgroup1182","yes"
"testgroup1183","yes"
"testgroup1184","yes"
"testgroup1185","yes"
"testgroup1186","yes"
"testgroup1187","yes"
"testgroup1188","yes"
"testgroup1189","yes"
"testgroup1190","yes"
"testgroup1191","yes"
"testgroup1192","yes"
"testgroup1193","yes"
"testgroup1194","yes"
"testgroup1195","yes"
"testgroup1196","yes"
"testgroup1197","yes"
"testgroup1198","yes"
"testgroup1199","yes"
"testgroup1200","yes"
"testgroup1201","yes"
"testgroup1202","yes"
"testgroup1203","yes"
"testgroup1204","yes"
"testgroup1205","yes"
"testgroup1206","yes"
"testgroup1207","yes"
"testgroup1208","yes"
"testgroup1209","yes"
"testgroup1210","yes"
"testgroup1211","yes"
"testgroup1212","yes"
"testgroup1213","yes"
"testgroup1214","yes"
"testgroup1215","yes"
"testgroup1216","yes"
"testgroup1217","yes"
"testgroup1218","yes"
"testgroup1219","yes"
"testgroup1220","yes"
"testgroup1221","yes"
"testgroup1222","yes"
"testgroup1223","yes"
"testgroup1224","yes"
"testgroup1225","yes"
"testgroup1226","yes"
"testgroup1227","yes"
"testgroup1228","yes"
"testgroup1229","yes"
"testgroup1230","yes"
"testgroup1231","yes"
"testgroup1232","yes"
"testgroup1233","yes"
"testgroup1234","yes"
"testgroup1235","yes"
"testgroup1236","yes"
"testgroup1237","yes"
"testgroup1238","yes"
"testgroup1239","yes"
"testgroup1240","yes"
"testgroup1241","yes"
"testgroup1242","yes"
"testgroup1243","yes"
"testgroup1244","yes"
"testgroup1245","yes"
"testgroup1246","yes"
"testgroup1247","yes"
